"household_id","participant_sex","participant_age","education_level","participant_type_coalesce","loc1_name","household_head_sex","Age_Group","Age_Group2","Womens_Age_Group","Womens_Age_Group2","global_form_id","womens_form_id","I_P_total_crops","I_P_total_important_crops","I_P_staple_area","I_P_total_crop_area","I_P_total_crop_yield","I_P_total_crop_productivity","I_P_simpson","I_VCC1","I_VCC2","I_VCC3","I_VCC4","I_VCC5","I_VCC6","I_AWEAI_asset","I_AWEAI_asset_prop","I_HI_n_income_sources","I_HI_income_diversification","I_HI_self_perception","I_HI_savings","I_HI_have_debt","I_HI_worry_debt","I_HI_transport","I_HDDS","I_HDDS_min","FIES_1","FIES_2","FIES_3","FIES_4","FIES_5","FIES_6","FIES_7","FIES_8","I_FIES_score","I_FIES_prob_moderate","I_FIES_prob_severe","I_FIES_prev_moderate","I_FIES_prev_severe","I_FIES_category"
155,"M",36,"primary","Beneficiarios","Guanacaste","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:f9f14f56-22ec-4c5c-b4c4-8b0a8ae056c2","uuid:bda98997-844e-40fc-80f7-8c38fbb9a681",9,2,0.306037473976405,2.3056,839.8796,364.278105482304,0.0526110631817096,"equal","no_reponse","equal","equal","no_reponse","equal",1,1,1,"Crop farming only",6,0,0,0,0,8,1,1,0,0,0,1,0,0,0,2,0.137889493713938,5.61132977749956e-07,0.607803661194447,0.045177217923865,"Moderately Food Insecure"
118,"M",32,"secondary","No Beneficiarios","Pintadas","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:81e4961c-f0e1-4194-849b-a58b3f73bd3d","uuid:81075771-6766-4770-b1ef-b971e34e8b2d",3,2,0.306037473976405,2.3056,1135,492.279666897988,0.320282186948854,"equal","no_reponse","equal","equal","no_reponse","equal",1,1,1,"Crop farming only",6,0,0,0,1,9,1,1,1,0,0,0,0,0,0,2,0.137889493713938,5.61132977749956e-07,0.607803661194447,0.045177217923865,"Mildly Food Insecure"
113,"M",66,"primary","Beneficiarios","Pintadas","M","55+","51+","55+","51+","uuid:0b9593c1-7828-40c5-99eb-4f5cf1eef50b","uuid:e1d8a82a-8bdb-4118-814a-593fb6421ff2",6,2,0.46865037194474,3.0112,1725.2,572.927736450584,0.361705504917612,"equal","no_reponse","no_reponse","equal","no_reponse","moderate",1,1,2,"Crop farming + Off-farm sources",6,0,0,0,0,5,1,1,0,1,1,1,1,1,0,6,0.982041642853865,0.0513559964381333,0.607803661194447,0.045177217923865,"Moderately Food Insecure"
114,"M",33,"primary","Beneficiarios","Pintadas","M","26 - 55","31 - 50",NA,NA,"uuid:947465aa-f843-4c0c-bdc1-93a32e18025c",NA,5,2,0.666666666666667,4.2336,2497,589.805366591081,0.452412587412587,NA,NA,NA,NA,NA,NA,NA,NA,2,"Crop farming + Off-farm sources",7,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.607803661194447,0.045177217923865,NA
87,"M",45,"primary","Beneficiarios","Monte Oscuro","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:edd065f2-1220-42d6-ba31-af206afd2298","uuid:26b694b1-0665-4497-a79c-260576360dde",5,NA,NA,NA,NA,NA,NA,"equal","no_reponse","equal","equal","no_reponse","equal",1,1,1,"Crop farming only",6,0,1,1,1,12,1,1,0,1,1,0,0,0,0,3,0.40002725933981,3.37078606016394e-06,0.607803661194447,0.045177217923865,"Mildly Food Insecure"
89,"F",50,"primary","No Beneficiarios","Monte Oscuro","F","26 - 55","31 - 50","26 - 55","31 - 50","uuid:26d785d1-c021-46de-b929-ff009363e89c","uuid:0b90cd3e-1d6a-4340-86fd-98d0e56b8116",2,2,0.5,2.8,590.2,210.785714285714,0.474176197190454,"equal","no_reponse","equal","equal","no_reponse","equal",1,1,1,"Crop farming only",7,1,1,1,0,8,1,1,1,1,1,1,1,1,0,7,0.995303491297153,0.393560803113058,0.607803661194447,0.045177217923865,"Moderately Food Insecure"
86,"M",67,"primary","Beneficiarios","Monte Oscuro","M","55+","51+","55+","51+","uuid:55e82782-2e7f-4126-b7da-635e89113d04","uuid:b1ae0c68-0f12-417f-ad01-0404262f8fac",2,2,0.306037473976405,2.3056,1452.8,630.117973629424,0.342032304725169,"equal","no_reponse","moderate","equal","no_reponse","equal",1,1,1,"Crop farming only",7,1,0,0,0,9,1,1,0,1,0,1,0,1,0,4,0.726407104847726,6.90146685411452e-05,0.607803661194447,0.045177217923865,"Moderately Food Insecure"
73,"F",45,"primary","Beneficiarios","Nance Dulce","F","26 - 55","31 - 50","26 - 55","31 - 50","uuid:20b01618-af9e-4635-a98e-47cdaabce32d","uuid:00a1dd5e-f359-4ae7-bbc4-af78aee2215e",4,2,0.569522169608265,3.7168,1725.2,464.162720619888,0.266082210514106,"equal","equal","equal","equal","moderate","equal",1,1,1,"Crop farming only",7,1,1,1,0,7,1,1,1,1,1,1,0,1,0,6,0.982041642853865,0.0513559964381333,0.607803661194447,0.045177217923865,"Moderately Food Insecure"
75,"M",51,"primary","Beneficiarios","Nance Dulce","M","26 - 55","51+","26 - 55","31 - 50","uuid:d78f221e-a959-4d90-beb9-fe567deff647","uuid:46593b35-94bb-43f6-9ac4-20a0fb397771",21,2,0.306037473976405,2.3056,1044.2,452.897293546148,0.423846359029075,"equal","equal","equal","moderate","equal","equal",1,1,2,"Crop farming + Off-farm sources",7,1,1,1,0,9,1,1,0,1,0,1,0,0,0,3,0.40002725933981,3.37078606016394e-06,0.607803661194447,0.045177217923865,"Moderately Food Insecure"
79,"F",30,"primary","No Beneficiarios","Nance Dulce","F","26 - 55","18 - 30","26 - 55","18 - 30","uuid:6c14c6fd-1e92-4cf3-89ea-509f4e63224d","uuid:bd5149cf-4b5d-4781-8cfe-a2822f06984b",2,2,0.5,1.4112,851.1378,603.130527210884,0.250446349638406,"little","no_reponse","equal","equal","no_reponse","equal",1,1,1,"Crop farming only",6,0,0,0,0,7,1,1,0,1,0,1,1,1,0,5,0.921026248640007,0.00223288674455469,0.607803661194447,0.045177217923865,"Moderately Food Insecure"
