"household_id","participant_sex","participant_age","education_level","target_group","household_head_sex","Age_Group","Age_Group2","Womens_Age_Group","Womens_Age_Group2","global_form_id","womens_form_id","I_P_total_crops","I_P_total_important_crops","I_P_staple_area","I_P_total_crop_area","I_P_total_crop_yield","I_P_total_crop_productivity","I_P_simpson","I_P_total_livestock","I_P_total_important_livestocks","I_VCC1","I_VCC2","I_VCC3","I_VCC4","I_VCC5","I_VCC6","I_AWEAI_asset","I_AWEAI_asset_prop","I_HI_n_income_sources","I_HI_income_diversification","I_HI_self_perception","I_HI_savings","I_HI_have_debt","I_HI_worry_debt","I_HI_transport","I_HDDS","I_HDDS_min","FIES_1","FIES_2","FIES_3","FIES_4","FIES_5","FIES_6","FIES_7","FIES_8","I_FIES_score","I_FIES_prob_moderate","I_FIES_prob_severe","I_FIES_prev_moderate","I_FIES_prev_severe","I_FIES_category"
"516","F",30,"coranique","Calebasses","M","26 - 55","18 - 30","26 - 55","18 - 30","uuid:921038fa-c796-47b2-ad44-7d8d3184122c","uuid:fce373ba-0bf1-4411-b78f-0e301a7625fb",0,NA,NA,NA,NA,NA,NA,0,NA,"little","moderate","moderate","moderate","moderate","moderate",1,1,0,"Income sources unreported",5,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"518","F",35,"coranique","Calebasses","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:eb2c28a6-72d9-444e-96b5-28c3a1c6505d","uuid:3a42942f-47b2-443c-b182-2bd1d1eae944",0,NA,NA,NA,NA,NA,NA,0,NA,"little","moderate","moderate","moderate","moderate","moderate",1,1,0,"Income sources unreported",5,0,1,1,0,9,1,1,0,1,0,0,0,0,0,2,0.0932852837366366,5.37366418029706e-09,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"512","F",30,"coranique","Calebasses","M","26 - 55","18 - 30","26 - 55","18 - 30","uuid:b234f62b-00f6-489c-8ab8-874a3d2e99df","uuid:7e551877-c81b-4068-ba8a-626340953d78",0,NA,NA,NA,NA,NA,NA,0,NA,"little","moderate","moderate","moderate","little","moderate",1,1,0,"Income sources unreported",5,0,1,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"519","F",20,"coranique","Calebasses","M","18 - 25","18 - 30","18 - 25","18 - 30","uuid:ceba50a4-cd5c-4855-b37d-0768532bde58","uuid:8306a99b-f90b-4b46-836f-ab6dfd22deb1",0,NA,NA,NA,NA,NA,NA,0,NA,"little","moderate","moderate","moderate","little","moderate",1,1,0,"Income sources unreported",5,0,1,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"520","F",40,"coranique","Calebasses","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:6081da25-fc34-4162-9894-021ea30ec185","uuid:b665efea-db3a-4fb5-82d7-63d1198a67e3",0,NA,NA,NA,NA,NA,NA,0,NA,"little","none","little","little","little","little",1,0.166666666666667,0,"Income sources unreported",5,0,1,1,0,7,1,1,0,1,0,1,0,0,0,3,0.337569344275583,2.75628626811297e-07,0.276221064086592,0.0238715452714838,"Moderately Food Insecure"
"513","F",22,"coranique","Calebasses","M","18 - 25","18 - 30","18 - 25","18 - 30","uuid:2da07163-ca39-4db1-8ff4-2a721da18a12","uuid:7e595add-d82a-4c7a-86ee-0586f6874f20",0,NA,NA,NA,NA,NA,NA,0,NA,"little","moderate","moderate","moderate","little","moderate",1,1,0,"Income sources unreported",7,1,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"514","F",22,"coranique","Calebasses","M","18 - 25","18 - 30","18 - 25","18 - 30","uuid:9b3db37f-3147-4748-8064-2af5dfeeb861","uuid:50f1e960-cbbc-4db0-bb8b-11f41eb10d7a",0,NA,NA,NA,NA,NA,NA,0,NA,"little","none","little","none","none","little",0,0.2,0,"Income sources unreported",5,0,1,1,1,7,1,1,0,0,0,0,0,0,0,1,0.0207601978942691,6.35569774587452e-09,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"515","F",35,"coranique","Calebasses","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:b172ad21-b966-4e7d-9e77-b9a41bd6c7e5","uuid:814ff5a1-6101-4428-80f6-438e0b3bc3fd",0,NA,NA,NA,NA,NA,NA,0,NA,"little","little","none","none","none","little",0,0.25,0,"Income sources unreported",5,0,1,1,0,7,1,1,0,1,0,0,0,0,0,2,0.0932852837366366,5.37366418029706e-09,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"517","F",35,"coranique","Calebasses","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:117f0af1-c2dc-4802-991b-e02b63bdb3bd","uuid:cc595864-f842-4370-8885-113099c224b6",0,NA,NA,NA,NA,NA,NA,0,NA,"none","none","none","none","none","little",1,0.5,0,"Income sources unreported",5,0,1,1,0,7,1,1,0,1,0,0,0,0,0,2,0.0932852837366366,5.37366418029706e-09,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"88","M",60,"coranique","Producteurs","M","55+","51+","26 - 55","31 - 50","uuid:4f6afde8-c888-45a2-9a84-7fb3e46c969a","uuid:19b1932d-8a3a-41f8-bbdb-7a872d2c84aa",3,1,NA,25,15000,600,0,5,1,"little","moderate","moderate","equal","little","moderate",1,1,1,"Crop farming only",7,1,0,0,1,7,1,0,1,1,0,0,0,0,0,2,0.0932852837366366,5.37366418029706e-09,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"89","M",67,"coranique","Producteurs","M","55+","51+","26 - 55","31 - 50","uuid:fc1c3a8a-7a2d-42f1-a6a0-058a2dcaabcd","uuid:a4d54be6-19a9-4715-8444-87cdf33cfef3",2,2,0.666666666666667,3,2600,866.666666666667,0.355166188178885,4,1,"little","little","moderate","equal","little","none",1,1,1,"Crop farming only",7,1,1,0,1,6,1,0,1,1,0,0,0,0,0,2,0.0932852837366366,5.37366418029706e-09,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"DMST6O","M",42,"primary","Consommateurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:a589a3c4-41d7-4be0-a3d5-a973f2e9cdbb","uuid:8d11745e-f645-4e7b-ae5e-0c5c405ad7b3",0,NA,NA,NA,NA,NA,NA,0,NA,"moderate","moderate","moderate","equal","little","none",1,0.625,0,"Income sources unreported",7,1,1,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"UZJX1I","M",50,"secondary","Consommateurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:4a18a67e-6665-4545-bc72-0386a9809797","uuid:3cbf839a-f223-4dd7-a6ef-ecd5192c7475",0,NA,NA,NA,NA,NA,NA,0,NA,"moderate","moderate","moderate","equal","little","none",1,0.625,0,"Income sources unreported",7,1,1,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"Z1D0OV","F",36,"secondary","Consommateurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:1ab02e19-1cbf-476e-9984-485694f22ba1","uuid:ffbf7f69-b532-4649-a2ed-5f2cf4a2e0c9",0,NA,NA,NA,NA,NA,NA,0,NA,"moderate","moderate","moderate","equal","little","none",1,0.5,0,"Income sources unreported",6,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"1KQPDB","F",36,"secondary","Consommateurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:393e04a0-ad70-41da-b37f-e29cafbbfda7","uuid:3fece28b-18d0-4ba0-86f1-f47a9b86704c",0,NA,NA,NA,NA,NA,NA,0,NA,"equal","equal","equal","moderate","equal","none",1,1,0,"Income sources unreported",7,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"446","M",65,"secondary","Consommateurs","M","55+","51+","26 - 55","31 - 50","uuid:7094c5f4-8385-47a6-979a-23f7a5680df8","uuid:f7d69dff-75f5-4814-9dc8-b5210dcaf630",0,NA,NA,NA,NA,NA,NA,0,NA,"equal","equal","equal","moderate","moderate","equal",1,0.833333333333333,0,"Income sources unreported",7,1,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"Z3LBNP","F",34,"primary","Producteurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:57b68e53-17d3-407e-8c93-ff33e06665a1","uuid:9567713e-cbcb-4583-b130-415cbc169e63",4,2,NA,0.6,2800,4666.66666666667,0.191394885928648,0,0,"moderate","equal","little","equal","moderate","no_reponse",1,0.142857142857143,1,"Crop farming only",6,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"SYMVUS","M",50,"No_school","Producteurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:77f17d4d-de67-4207-a034-9a25ecf31be8","uuid:2af5cf5a-7461-4d12-8900-60433092ee62",7,2,NA,0.006,160,26666.6666666667,0.471698113207547,0,0,"none","none","moderate","moderate","moderate","none",1,0.75,2,"Crop farming + Off-farm sources",6,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"A5HAR1","F",23,"primary","Producteurs","M","18 - 25","18 - 30","18 - 25","18 - 30","uuid:90f7a55b-043d-4228-8189-c0c83532531d","uuid:772d142e-aa60-45b7-ac20-d375af9931dd",5,2,NA,0.0086,330,38372.0930232558,0.497374965460072,0,0,"moderate","little","little","equal","moderate","little",1,0.166666666666667,1,"Crop farming only",6,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"HB6MT8","M",32,"postsecondary","Transformateurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:a9e5dfe8-42e0-4663-a135-6998c29b05d6","uuid:a30d7656-c11b-4651-bb81-92f2dd7d4a79",0,NA,NA,NA,NA,NA,NA,0,NA,"none","none","none","moderate","moderate","moderate",0,0.2,0,"Income sources unreported",6,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"6HF2ER","M",46,"No_school","Calebasses","M","26 - 55","31 - 50","18 - 25","18 - 30","uuid:90b33493-bffc-4bb6-8570-34c646afabc3","uuid:a51e1be3-e184-4914-a3ed-665e2d35c159",0,NA,NA,NA,NA,NA,NA,0,NA,"none","none","moderate","equal","moderate","moderate",1,1,0,"Income sources unreported",6,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"2","M",29,"postsecondary","Producteurs","M","26 - 55","18 - 30",NA,NA,"uuid:d0fc8c3a-4fcd-43dd-875c-85c4287f2044","uuid:c644c606-5659-4fd4-b9b4-35618ead1c0f",5,2,NA,0.115,4250,36956.5217391304,0.498387163761716,4,2,"none","none","none","moderate","moderate","moderate",1,0.375,1,"Crop farming only",6,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"4","M",30,"secondary","Producteurs","M","26 - 55","18 - 30","26 - 55","18 - 30","uuid:eb0ac856-da6e-4ea8-8bc5-96314b9be4e4","uuid:eee55e96-1aab-4afb-9798-3c2fd47bae34",6,2,NA,0.0275,700,25454.5454545455,0.459840588595953,0,0,"none","none","none","equal","moderate","none",1,0.166666666666667,2,"Crop farming + Off-farm sources",6,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"3","F",56,"No_school","Producteurs","M","55+","51+","55+","51+","uuid:3d7644b0-9817-42f2-b86b-5c85276594fb","uuid:65a9fdd6-3417-4524-b633-325a09338773",4,2,NA,0.028333,550,19411.9930822716,0.496770988574267,0,0,"moderate","more_than","equal","equal","moderate","moderate",1,1,1,"Crop farming only",6,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"1","M",40,"primary","Producteurs","M","26 - 55","31 - 50","26 - 55","18 - 30","uuid:711f4e24-0876-4935-b3b9-b58361b887c9","uuid:dc0b7a54-fac5-4cfd-a0af-a5e7a74dcbdd",19,2,NA,0.403333,11750,29132.2554812029,0.253529951847418,3,1,"none","none","none","moderate","moderate","moderate",1,0.375,1,"Crop farming only",6,0,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"11","M",49,"primary","Producteurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:a7386a3d-23ab-4ac1-86fd-24994bb43fa8","uuid:4c0c7b55-7671-41dc-85da-716609ad1974",9,2,NA,1.02,1950,1911.76470588235,0.499927642051808,2,1,"none","none","moderate","moderate","moderate","moderate",1,0.5,1,"Crop farming only",6,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"455","F",42,"postsecondary","Consommateurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:aba61aeb-88c0-4b17-897e-2ac22d4764c4","uuid:bff8e1c8-f2b0-421d-836e-fe0097f03f56",0,NA,NA,NA,NA,NA,NA,0,NA,"none","none","moderate","equal","moderate","moderate",1,0.8,0,"Income sources unreported",6,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"451","F",39,"postsecondary","Consommateurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:6ccfd720-a87b-44c5-af01-821c86c82637","uuid:0abec8cf-9253-4aa2-8770-84b6244d34ea",0,NA,NA,NA,NA,NA,NA,0,NA,"none","none","moderate","moderate","moderate","moderate",1,0.666666666666667,0,"Income sources unreported",6,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
