"offfarm_rep_number","offfarm_income_name","offfarm_label","offfarm_income_note","off_farm_income_no1","offfarm_year_round","offfarm_month","offfarm_month.apr","offfarm_month.aug","offfarm_month.dec","offfarm_month.feb","offfarm_month.jan","offfarm_month.jul","offfarm_month.jun","offfarm_month.mar","offfarm_month.may","offfarm_month.no_answer","offfarm_month.nov","offfarm_month.oct","offfarm_month.sep","off_farm_income_no3","offfarm_who_control_revenue","offfarm_who_control_revenue.Female_adult","offfarm_who_control_revenue.Female_Child","offfarm_who_control_revenue.Female_Youth","offfarm_who_control_revenue.Male_adult","offfarm_who_control_revenue.Male_Child","offfarm_who_control_revenue.Male_Youth","offfarm_who_control_revenue.no_answer","PARENT_KEY","KEY"
1,"ownbusiness","Auto-entrepreneur (boutique, commerçant, chauffeur)",NA,NA,"Y","dec nov jan feb mar apr may",1,0,1,1,1,0,0,1,1,0,1,0,0,NA,"Male_adult",0,0,0,1,0,0,0,"uuid:eb2c28a6-72d9-444e-96b5-28c3a1c6505d","uuid:eb2c28a6-72d9-444e-96b5-28c3a1c6505d/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"ownbusiness","Auto-entrepreneur (boutique, commerçant, chauffeur)",NA,NA,"Y","dec nov oct sep aug jul jun may apr mar feb jan",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult",0,0,0,1,0,0,0,"uuid:b234f62b-00f6-489c-8ab8-874a3d2e99df","uuid:b234f62b-00f6-489c-8ab8-874a3d2e99df/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"ownbusiness","Auto-entrepreneur (boutique, commerçant, chauffeur)",NA,NA,"Y","dec nov oct sep aug jul jun may apr mar feb jan",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult",0,0,0,1,0,0,0,"uuid:ceba50a4-cd5c-4855-b37d-0768532bde58","uuid:ceba50a4-cd5c-4855-b37d-0768532bde58/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"ownbusiness","Auto-entrepreneur (boutique, commerçant, chauffeur)",NA,NA,"Y","dec nov oct sep aug jul jun may apr mar feb jan",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult",0,0,0,1,0,0,0,"uuid:2da07163-ca39-4db1-8ff4-2a721da18a12","uuid:2da07163-ca39-4db1-8ff4-2a721da18a12/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"ownbusiness","Auto-entrepreneur (boutique, commerçant, chauffeur)",NA,NA,"Y","jan feb mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult",0,0,0,1,0,0,0,"uuid:a589a3c4-41d7-4be0-a3d5-a973f2e9cdbb","uuid:a589a3c4-41d7-4be0-a3d5-a973f2e9cdbb/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"ownbusiness","Auto-entrepreneur (boutique, commerçant, chauffeur)",NA,NA,"Y","jan feb mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Female_adult",1,0,0,0,0,0,0,"uuid:4a18a67e-6665-4545-bc72-0386a9809797","uuid:4a18a67e-6665-4545-bc72-0386a9809797/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"localbusiness","Travaille dans une entreprise locale",NA,NA,"Y","jan feb mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult",0,0,0,1,0,0,0,"uuid:1ab02e19-1cbf-476e-9984-485694f22ba1","uuid:1ab02e19-1cbf-476e-9984-485694f22ba1/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"gov_institution","Travaille pour le gouvernement ou une institution publique",NA,NA,"Y","feb jan mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult Female_adult",1,0,0,1,0,0,0,"uuid:393e04a0-ad70-41da-b37f-e29cafbbfda7","uuid:393e04a0-ad70-41da-b37f-e29cafbbfda7/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"gov_institution","Travaille pour le gouvernement ou une institution publique",NA,NA,"Y","jan feb mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult",0,0,0,1,0,0,0,"uuid:7094c5f4-8385-47a6-979a-23f7a5680df8","uuid:7094c5f4-8385-47a6-979a-23f7a5680df8/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"localbusiness","Travaille dans une entreprise locale",NA,NA,"Y","dec nov oct sep aug jul jun may apr mar feb jan",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult",0,0,0,1,0,0,0,"uuid:77f17d4d-de67-4207-a034-9a25ecf31be8","uuid:77f17d4d-de67-4207-a034-9a25ecf31be8/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"ownbusiness","Auto-entrepreneur (boutique, commerçant, chauffeur)",NA,NA,"Y","dec nov oct sep aug jul jun may apr mar feb jan",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Female_adult",1,0,0,0,0,0,0,"uuid:a9e5dfe8-42e0-4663-a135-6998c29b05d6","uuid:a9e5dfe8-42e0-4663-a135-6998c29b05d6/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
2,"gov_institution","Travaille pour le gouvernement ou une institution publique",NA,NA,"Y","dec nov oct aug sep jul jun may apr mar feb jan",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult",0,0,0,1,0,0,0,"uuid:a9e5dfe8-42e0-4663-a135-6998c29b05d6","uuid:a9e5dfe8-42e0-4663-a135-6998c29b05d6/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[2]"
1,"localbusiness","Travaille dans une entreprise locale",NA,NA,"Y","dec nov oct sep aug jul jun may apr mar feb jan",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult",0,0,0,1,0,0,0,"uuid:eb0ac856-da6e-4ea8-8bc5-96314b9be4e4","uuid:eb0ac856-da6e-4ea8-8bc5-96314b9be4e4/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"remittances","Versements (envoi d'argent)",NA,NA,"Y","dec nov oct sep aug jul jun may apr mar feb jan",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult Female_adult",1,0,0,1,0,0,0,"uuid:aba61aeb-88c0-4b17-897e-2ac22d4764c4","uuid:aba61aeb-88c0-4b17-897e-2ac22d4764c4/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
