"offfarm_rep_number","offfarm_income_name","offfarm_label","offfarm_income_note","off_farm_income_no1","offfarm_year_round","offfarm_month","offfarm_month.apr","offfarm_month.aug","offfarm_month.dec","offfarm_month.feb","offfarm_month.jan","offfarm_month.jul","offfarm_month.jun","offfarm_month.mar","offfarm_month.may","offfarm_month.no_answer","offfarm_month.nov","offfarm_month.oct","offfarm_month.sep","off_farm_income_no3","offfarm_who_control_revenue","offfarm_who_control_revenue.Female_adult","offfarm_who_control_revenue.Female_Youth","offfarm_who_control_revenue.Male_adult","offfarm_who_control_revenue.Male_Youth","offfarm_who_control_revenue.no_answer","PARENT_KEY","KEY"
1,"no_answer","Sin respuesta",NA,NA,"Y","jan dec",0,0,1,0,1,0,0,0,0,0,0,0,0,NA,"Male_adult Female_adult",1,0,1,0,0,"uuid:078fb83b-29f4-4c0a-aa88-ef5131364310","uuid:078fb83b-29f4-4c0a-aa88-ef5131364310/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"remittances","Remesas (enviar dinero)",NA,NA,"Y","jan dec",0,0,1,0,1,0,0,0,0,0,0,0,0,NA,"Male_Youth Female_Youth",0,1,0,1,0,"uuid:c2a3a52b-d319-47d6-b6a4-3b92bb420224","uuid:c2a3a52b-d319-47d6-b6a4-3b92bb420224/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"ownbusiness","Tener negocio propio",NA,NA,"Y","jan dec",0,0,1,0,1,0,0,0,0,0,0,0,0,NA,"Male_adult Female_adult",1,0,1,0,0,"uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6","uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
2,"remittances","Remesas (enviar dinero)",NA,NA,"Y","jan dec",0,0,1,0,1,0,0,0,0,0,0,0,0,NA,"Male_adult Female_adult",1,0,1,0,0,"uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6","uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[2]"
1,"remittances","Remesas (enviar dinero)",NA,NA,"Y","jan dec",0,0,1,0,1,0,0,0,0,0,0,0,0,NA,"Female_adult",1,0,0,0,0,"uuid:cde06c54-c7f0-4911-99cb-4cac64522ffd","uuid:cde06c54-c7f0-4911-99cb-4cac64522ffd/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"ownbusiness","Tener negocio propio",NA,NA,"Y","jan dec",0,0,1,0,1,0,0,0,0,0,0,0,0,NA,"Female_adult Male_adult",1,0,1,0,0,"uuid:00f8a67f-7619-4b82-9cc9-059ac4180656","uuid:00f8a67f-7619-4b82-9cc9-059ac4180656/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
2,"remittances","Remesas (enviar dinero)",NA,NA,"Y","jan dec",0,0,1,0,1,0,0,0,0,0,0,0,0,NA,"Female_adult Male_adult",1,0,1,0,0,"uuid:00f8a67f-7619-4b82-9cc9-059ac4180656","uuid:00f8a67f-7619-4b82-9cc9-059ac4180656/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[2]"
1,"otherlabour","Mano de obra, no en una finca",NA,NA,"N","no_answer",0,0,0,0,0,0,0,0,0,1,0,0,0,NA,"Male_Youth",0,0,0,1,0,"uuid:2c0251ab-6a50-4de3-b0c1-3a5793f5802c","uuid:2c0251ab-6a50-4de3-b0c1-3a5793f5802c/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"otherlabour","Mano de obra, no en una finca",NA,NA,"Y","jan feb mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Female_adult",1,0,0,0,0,"uuid:824155ea-7032-4b91-97d0-65a4da5c89f9","uuid:824155ea-7032-4b91-97d0-65a4da5c89f9/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"ownbusiness","Tener negocio propio",NA,NA,"Y","jan dec",0,0,1,0,1,0,0,0,0,0,0,0,0,NA,"Female_adult Male_adult",1,0,1,0,0,"uuid:0c959db9-b533-4354-83b3-d3a0824bc531","uuid:0c959db9-b533-4354-83b3-d3a0824bc531/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
